membership_id,employee_id,group_name,granted_date,approver
MBR00047,EMP0037,HR-Employee-Records-Read,2023-11-27,
MBR00048,EMP0038,OPS-Vendor-Onboard,2026-04-14,EMP0035
MBR00049,EMP0038,OPS-Workflow-Standard,2024-05-31,
MBR00050,EMP0039,IT-Helpdesk-Standard,2023-04-18,
MBR00051,EMP0040,SALES-Discount-Override,2026-07-09,EMP0075
MBR00052,EMP0040,SALES-CRM-Standard,2025-10-14,
MBR00053,EMP0041,SALES-CRM-Standard,2022-12-29,
MBR00054,EMP0042,HR-Employee-Records-Read,2023-01-20,
MBR00055,EMP0042,HR-Compensation-Admin,2024-06-27,EMP0002
MBR00056,EMP0043,FIN-Reporting-ReadOnly,2025-04-09,
MBR00057,EMP0043,FIN-Invoice-Entry,2025-07-06,
MBR00058,EMP0044,SALES-CRM-Standard,2024-10-14,
MBR00059,EMP0045,OPS-Workflow-Standard,2024-11-02,
MBR00060,EMP0046,OPS-Workflow-Standard,2026-02-27,
MBR00061,EMP0047,IT-Helpdesk-Standard,2025-12-28,
MBR00062,EMP0048,OPS-Workflow-Standard,2025-12-06,
MBR00063,EMP0049,HR-Employee-Records-Read,2025-01-01,
MBR00064,EMP0049,HR-Termination-Process,2025-06-11,EMP0042
MBR00065,EMP0050,OPS-Workflow-Standard,2024-06-09,
MBR00066,EMP0051,HR-Employee-Records-Read,2023-06-04,
MBR00067,EMP0052,HR-Employee-Records-Read,2026-06-13,
MBR00068,EMP0053,HR-Employee-Records-Read,2025-12-06,
MBR00069,EMP0054,HR-Termination-Process,2026-04-21,EMP0017
MBR00070,EMP0055,HR-Employee-Records-Read,2024-09-03,
MBR00071,EMP0056,IT-Helpdesk-Standard,2025-12-16,
MBR00072,EMP0057,OPS-Workflow-Standard,2026-02-01,
MBR00073,EMP0057,OPS-Vendor-Onboard,2024-10-17,EMP0030
MBR00074,EMP0058,OPS-Workflow-Standard,2023-02-18,
MBR00075,EMP0059,FIN-Reporting-ReadOnly,2026-02-09,
MBR00076,EMP0059,FIN-Invoice-Entry,2024-03-09,
MBR00077,EMP0060,IT-Helpdesk-Standard,2023-03-12,
MBR00078,EMP0060,IT-Server-Admin,2023-12-31,EMP0054
MBR00079,EMP0061,SALES-CRM-Standard,2022-12-31,
MBR00080,EMP0062,IT-Helpdesk-Standard,2024-06-23,
MBR00081,EMP0062,IT-Prod-Database-Write,2025-07-10,EMP0038
MBR00082,EMP0062,IT-Domain-Admin,2024-01-27,EMP0056
MBR00083,EMP0063,FIN-Invoice-Entry,2024-08-29,
MBR00084,EMP0064,IT-Helpdesk-Standard,2026-06-25,
MBR00085,EMP0065,FIN-Invoice-Entry,2023-07-09,
MBR00086,EMP0065,FIN-Reporting-ReadOnly,2024-10-18,
MBR00087,EMP0066,HR-Termination-Process,2024-04-17,EMP0062
MBR00088,EMP0066,HR-Employee-Records-Read,2025-08-21,
MBR00089,EMP0067,FIN-Invoice-Entry,2024-01-29,
MBR00090,EMP0067,FIN-Reporting-ReadOnly,2023-01-05,
MBR00091,EMP0068,SALES-CRM-Standard,2026-08-03,
MBR00092,EMP0069,HR-Employee-Records-Read,2023-06-29,
MBR00093,EMP0070,OPS-Vendor-Onboard,2024-10-10,EMP0018
MBR00094,EMP0070,OPS-Workflow-Standard,2025-05-10,
MBR00095,EMP0071,HR-Employee-Records-Read,2023-07-17,
MBR00096,EMP0072,OPS-Vendor-Onboard,2024-09-25,EMP0013
MBR00097,EMP0072,OPS-Workflow-Standard,2025-01-10,
MBR00098,EMP0073,SALES-CRM-Standard,2024-07-16,
MBR00099,EMP0074,OPS-Workflow-Standard,2024-02-24,
MBR00100,EMP0075,IT-Helpdesk-Standard,2023-06-16,
MBR00101,EMP0076,FIN-Invoice-Entry,2023-07-15,
MBR00102,EMP0077,FIN-Invoice-Entry,2023-06-11,
MBR00103,EMP0077,FIN-Reporting-ReadOnly,2024-12-05,
MBR00104,EMP0078,FIN-Invoice-Entry,2023-09-26,
MBR00105,EMP0079,FIN-Reporting-ReadOnly,2025-06-01,
MBR00106,EMP0080,IT-Prod-Database-Write,2025-10-13,EMP0020
MBR00107,EMP0080,IT-Domain-Admin,2024-02-29,EMP0080
MBR00108,EMP0051,FIN-GL-Close-Approve,2024-11-22,
MBR00109,EMP0024,HR-Compensation-Admin,2023-11-21,
MBR00110,EMP0010,HR-Compensation-Admin,2024-01-31,
MBR00111,EMP0019,HR-Compensation-Admin,2025-12-05,EMP0010
MBR00112,EMP0026,FIN-Payment-Release,2026-02-25,
MBR00113,EMP0055,SALES-Discount-Override,2025-02-22,
MBR00114,EMP0028,IT-Domain-Admin,2024-04-24,EMP0036
MBR00115,EMP0077,FIN-GL-Close-Approve,2025-12-10,
MBR00116,EMP0071,FIN-GL-Close-Approve,2023-03-15,EMP0078
MBR00117,EMP0059,HR-Compensation-Admin,2026-07-04,
MBR00118,EMP0026,FIN-GL-Close-Approve,2023-03-16,
MBR00119,EMP0067,HR-Termination-Process,2023-03-21,EMP0049
MBR00120,EMP0034,IT-Prod-Database-Write,2024-02-06,EMP0040
MBR00121,EMP0043,IT-Server-Admin,2023-01-02,
MBR00122,EMP0006,FIN-GL-Close-Approve,2024-11-08,EMP0054
MBR00123,EMP0036,HR-Termination-Process,2025-07-12,
MBR00124,EMP0052,IT-Domain-Admin,2024-06-11,
MBR00125,EMP0056,HR-Termination-Process,2025-08-24,
MBR00126,EMP0016,FIN-Payment-Release,2025-04-29,
MBR00127,EMP0076,FIN-GL-Close-Approve,2025-12-22,
MBR00128,EMP0020,IT-Prod-Database-Write,2026-05-12,
MBR00129,EMP0073,FIN-Payment-Release,2024-01-24,
MBR00130,EMP0052,FIN-Payment-Release,2022-06-24,EMP0040
MBR00131,EMP0010,IT-Prod-Database-Write,2020-06-05,EMP0047
MBR00132,EMP0079,HR-Termination-Process,2020-08-07,EMP0017
MBR00133,EMP0050,IT-Server-Admin,2020-10-12,EMP0031
MBR00134,EMP0005,OPS-Vendor-Onboard,2022-06-22,EMP0002
MBR00135,EMP0011,IT-Server-Admin,2021-04-14,EMP0015
MBR00136,EMP0037,FIN-Payment-Release,2021-09-03,EMP0025
MBR00137,EMP0019,HR-Termination-Process,2020-03-13,EMP0058
MBR00138,EMP0064,SALES-Discount-Override,2026-01-06,EMP0065
MBR00139,EMP0064,IT-Server-Admin,2024-06-30,EMP0066
MBR00140,EMP0064,IT-Domain-Admin,2024-12-06,EMP0062
MBR00141,EMP0033,FIN-GL-Close-Approve,2025-05-18,EMP0018
MBR00142,EMP0033,IT-Server-Admin,2024-08-05,EMP0046
MBR00143,EMP0033,IT-Prod-Database-Write,2024-03-10,EMP0062
MBR00144,EMP0070,FIN-GL-Close-Approve,2026-07-27,EMP0058
MBR00145,EMP0070,IT-Server-Admin,2023-11-15,EMP0017
MBR00146,EMP0070,FIN-Payment-Release,2025-03-05,EMP0057
MBR00147,EMP0006,IT-Prod-Database-Write,2023-01-14,EMP0056
MBR00148,EMP0006,OPS-Vendor-Onboard,2024-12-22,EMP0053
MBR00149,EMP0006,IT-Server-Admin,2023-10-08,EMP0005
